source,target,scount,tcount,weight
C. Norman Alexander Jr.,Ernest Q. Campbell,2,1,1
Donald J. Black,,2,,0
David Rothstein,,1,,0
Curt Tausky,Robert Dubin,1,1,1
Anthony M. Orum,Roberta S. Cohen,1,1,1
Cornelis J. Lammers,,1,,0
Richard Quinney,Ronald L. Akers,1,1,1
Joseph Lopreato,,5,,0
Tai S. Kang,,1,,0
James DeFronzo,,1,,0
Charles P. Loomis,Joan Huber Rytina,3,1,1
