source,target,scount,tcount,weight
M. C. Chang,Ronald Freedman,1,4,1
Jacques Legare,,1,,0
Frank L. Mott,,1,,0
J. D. Allingham,T. R. Balakrishnan,1,2,1
J. F. Kantner,T. R. Balakrishnan,1,2,1
J. D. Allingham,J. F. Kantner,1,1,1
G. T. Cummins,G. W. Roberts,1,1,1
G. W. Roberts,J. Byrne,1,1,1
C. Alleyne,G. W. Roberts,1,1,1
G. T. Cummins,J. Byrne,1,1,1
C. Alleyne,G. T. Cummins,1,1,1
C. Alleyne,J. Byrne,1,1,1
Christopher Tietze,,2,,0
D. G. Schweitzer,G. J. Dienes,1,1,1
Carmen A. Mirο,,1,,0
R. T. Ravenholt,,1,,0
B. Fischler,E. Peritz,1,1,1
B. Fischler,J. Wingerd,1,1,1
E. Peritz,J. Wingerd,1,1,1
Lee-Jay Cho,,3,,0
John Casparis,,1,,0
George C. Myers,,2,,0
Kenneth W. Terhune,Sol Kaufman,1,1,1
George Wilber,,1,,0
Dinesh Chandra Dubey,Harvey M. Choldin,1,3,1
James R. Pinkerton,Leo F. Schnore,1,4,1
Elizabeth A. Larmon,Henry S. Shyrock Jr.,1,1,1
Alma F. Taeuber,Karl E. Taeuber,1,2,1
Eugene P. Ericksen,,1,,0
Theodore G. Clemence,,1,,0
Beverly Duncan,,1,,0
Jane A. Menken,Mindel C. Sheps,1,4,1
Annette P. Radick,Mindel C. Sheps,1,4,1
Annette P. Radick,Jane A. Menken,1,1,1
Edwin B. McDaniel,,1,,0
Max W. Williams,Omer R. Galle,1,1,1
Enver Adil,,1,,0
Roy Kass,,1,,0
Yun Kim,,1,,0
Samarendranath Mitra,,1,,0
Eduardo E. Arriaga,Kingsley Davis,5,1,1
James A. Palmore,Paul M. Hirsch,5,1,1
Ariffin bin Marzuki,Paul M. Hirsch,2,1,1
Axel I. Mundigo,Charles E. Lawrence,1,1,1
Charles E. Lawrence,Charles S. ReVelle,1,1,1
Axel I. Mundigo,Charles S. ReVelle,1,1,1
Cleo Youtz,Frederick Mosteller,1,1,1
Douglas Zahn,Frederick Mosteller,1,1,1
Cleo Youtz,Douglas Zahn,1,1,1
Donald R. Field,Glenn V. Fuguitt,1,3,1
Luis Leν̃ero Otero,,1,,0
Leonard G. Bower,,1,,0
John D. Allingham,T. R. Balakrishnan,1,2,1
John D. Allingham,John F. Kantner,1,1,1
John F. Kantner,T. R. Balakrishnan,1,2,1
Mohammed Aslam,Sultan S. Hashmi,1,1,1
Dhruva N. Nagnur,Edmund M. Murphy,1,2,1
Barbara F. Varon,,1,,0
Robert E. Cole,,1,,0
George A. Hillery Jr.,John V. D. Saunders,1,2,1
G. M. K. Kpedekpo,,1,,0
Murray Gendell,Robert G. Potter,3,3,1
G. Stephan Masnick,Murray Gendell,2,3,1
M. V. George,,2,,0
John Rumford,,1,,0
Samuel H. Preston,,1,,0
Helen C. Chase,,1,,0
Che-Fu Lee,,1,,0
Harley L. Browning,Waltraut Feindt,2,1,1
